AvgMonthlyCharge,AvgTenure,Churn,ChurnedCustomers,ChurnFlag,ChurnRate,Contract,customerID,Dependents,DeviceProtection,gender,TotalCustomers,Sum of TotalCharges,TenureGroup,Sum of tenure,TechSupport,StreamingTV,StreamingMovies,Sum of SeniorCitizen,PhoneService,PaymentMethod,Partner,PaperlessBilling,OnlineSecurity,OnlineBackup,MultipleLines,Sum of MonthlyCharges,InternetService,MRR_At_Risk
59.9,9,No,,0,,Month-to-month,0003-MKNFE,No,No,Male,1,542.4,0-12,9,No,No,Yes,0,Yes,Mailed check,No,No,No,No,Yes,59.9,DSL,
69.4,9,No,,0,,Month-to-month,0013-MHZWF,Yes,No,Female,1,571.45,0-12,9,Yes,Yes,Yes,0,Yes,Credit card (automatic),No,Yes,No,No,No,69.4,DSL,
48.2,7,No,,0,,Month-to-month,0015-UOCOJ,No,No,Female,1,340.35,0-12,7,No,No,No,1,Yes,Electronic check,No,Yes,Yes,No,No,48.2,DSL,
68.95,5,No,,0,,Month-to-month,0018-NYROU,No,No,Female,1,351.5,0-12,5,No,No,No,0,Yes,Electronic check,Yes,Yes,No,No,No,68.95,Fiber optic,
72.1,1,No,,0,,Month-to-month,0021-IKXGC,No,No,Female,1,72.1,0-12,1,No,No,No,1,Yes,Electronic check,No,Yes,No,No,Yes,72.1,Fiber optic,
83.75,23,No,,0,,Month-to-month,0027-KWYKW,Yes,No,Female,1,1849.95,13-24,23,No,Yes,No,0,Yes,Electronic check,Yes,Yes,No,No,Yes,83.75,Fiber optic,
19.85,3,No,,0,,Month-to-month,0030-FNXPP,No,No,Female,1,57.2,0-12,3,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.85,No,
89.8,55,No,,0,,Month-to-month,0058-EVZWM,No,No,Female,1,4959.6,49-60,55,No,Yes,No,0,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,Yes,89.8,Fiber optic,
94.75,59,No,,0,,Month-to-month,0060-FUALY,No,No,Female,1,5597.65,49-60,59,No,Yes,No,0,Yes,Electronic check,Yes,Yes,Yes,Yes,Yes,94.75,Fiber optic,
75.75,27,No,,0,,Month-to-month,0064-YIJGF,Yes,No,Male,1,1929,25-36,27,No,No,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,Yes,75.75,Fiber optic,
45,29,No,,0,,Month-to-month,0076-LVEPS,Yes,Yes,Male,1,1242.45,25-36,29,Yes,No,No,0,No,Mailed check,No,Yes,Yes,Yes,No phone service,45,DSL,
44.3,1,No,,0,,Month-to-month,0082-LDZUE,No,No,Male,1,44.3,0-12,1,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,44.3,DSL,
94.2,29,No,,0,,Month-to-month,0082-OQIQY,No,No,Male,1,2607.6,25-36,29,Yes,Yes,Yes,0,Yes,Electronic check,No,Yes,No,No,No,94.2,Fiber optic,
99.95,39,No,,0,,Month-to-month,0089-IIQKO,Yes,No,Female,1,3767.4,37-48,39,Yes,Yes,Yes,0,Yes,Credit card (automatic),Yes,Yes,No,No,Yes,99.95,Fiber optic,
91.55,40,No,,0,,Month-to-month,0093-EXYQL,No,No,Female,1,3673.6,37-48,40,No,Yes,Yes,1,Yes,Electronic check,No,Yes,No,No,No,91.55,Fiber optic,
50.35,6,No,,0,,Month-to-month,0096-BXERS,No,No,Female,1,314.55,0-12,6,No,No,No,0,Yes,Electronic check,Yes,No,No,No,Yes,50.35,DSL,
64.5,30,No,,0,,Month-to-month,0096-FCPUF,No,No,Male,1,1888.45,25-36,30,No,No,Yes,0,Yes,Mailed check,No,Yes,Yes,No,Yes,64.5,DSL,
19.4,27,No,,0,,Month-to-month,0098-BOWSO,No,No,Male,1,529.8,25-36,27,No,No,No,0,Yes,Electronic check,No,Yes,No,No,No,19.4,No,
71.4,16,No,,0,,Month-to-month,0106-GHRQR,No,Yes,Male,1,1212.1,13-24,16,No,No,Yes,0,Yes,Bank transfer (automatic),No,Yes,No,Yes,Yes,71.4,DSL,
93.95,32,No,,0,,Month-to-month,0111-KLBQG,Yes,No,Male,1,2861.45,25-36,32,No,Yes,Yes,1,Yes,Mailed check,Yes,Yes,No,Yes,No,93.95,Fiber optic,
